,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
1525,,12.41,40430.98,152.32,179359.54,278900.27,38.93,1567.26,99998.56,88964.16,64.81,124.79,2586.87,5.5,25.05,926.78,0.3,164.91,5.82,1.61,257.82,4.86,0.02,30.22,53.21,0.01,0.17,11.1,0.01,0.01,0.3,0.1,2.403,0.0,1.609,0.011,0.001,0.537,0.426,0.01,0.003,55.0
1526,,10.85,39247.91,157.14,179354.15,268530.36,33.93,1282.75,84871.94,78603.53,43.75,119.23,2694.73,4.55,21.82,908.68,0.27,166.71,5.82,1.44,258.39,4.89,0.02,31.29,53.05,0.01,0.14,10.16,0.01,0.01,0.32,0.1,2.393,0.0,1.664,0.012,0.001,0.491,0.428,0.008,0.003,53.0
1527,,11.05,37682.02,149.56,171960.23,240833.73,44.92,1263.04,94872.62,88571.73,81.66,115.42,2673.16,3.91,22.79,821.92,0.18,177.15,5.08,2.28,258.97,4.97,0.02,31.81,50.44,0.01,0.15,12.13,0.01,0.01,0.34,0.09,2.269,0.0,1.687,0.013,0.001,0.585,0.434,0.009,0.002,57.0
1528,,10.27,39442.63,166.78,164411.99,267468.07,48.92,1197.77,100486.88,88866.77,64.81,123.4,2996.82,5.34,24.24,887.59,0.2,170.47,7.03,1.79,259.54,4.98,0.03,29.11,53.61,0.01,0.14,11.65,0.01,0.01,0.36,0.1,2.423,0.0,1.55,0.014,0.002,0.564,0.436,0.008,0.003,56.0
1529,,12.41,35014.64,204.69,156186.73,259555.05,63.91,1582.44,85359.55,88855.31,56.39,120.62,2845.76,5.18,22.3,895.92,0.32,180.66,7.03,2.06,260.12,4.59,0.03,28.67,53.95,0.01,0.19,12.08,0.01,0.02,0.36,0.1,2.447,0.0,1.533,0.014,0.002,0.587,0.404,0.011,0.003,59.0
1530,,11.44,48822.54,191.59,180917.4,277952.17,51.92,1299.83,86578.7,91725.46,58.49,121.32,3515.04,5.82,26.51,942.07,0.2,172.1,6.22,1.66,260.69,5.78,0.03,30.03,52.23,0.01,0.14,11.27,0.01,0.01,0.4,0.1,2.342,0.0,1.587,0.015,0.002,0.541,0.502,0.008,0.003,51.0
1531,,10.85,37195.94,214.35,166089.68,280780.15,45.92,1479.07,87310.26,92186.63,47.96,118.89,3234.29,5.02,24.24,922.52,0.18,187.6,6.16,2.1,261.27,4.55,0.03,28.49,54.54,0.01,0.16,11.71,0.01,0.01,0.38,0.1,2.476,0.0,1.525,0.014,0.002,0.57,0.401,0.009,0.003,58.0
1532,,15.34,40506.92,164.71,171656.25,297301.47,38.93,1369.91,80240.65,87042.13,66.92,113.68,2910.5,5.5,24.73,899.64,0.27,178.52,6.69,2.1,261.84,4.77,0.02,28.36,55.61,0.01,0.14,10.65,0.01,0.01,0.33,0.09,2.522,0.0,1.516,0.013,0.001,0.518,0.419,0.008,0.002,55.0
1533,,9.49,40410.41,172.98,178212.61,290369.17,41.93,1650.45,92432.56,87752.51,62.7,123.75,2824.18,5.82,25.21,886.18,0.27,174.24,8.03,2.06,262.42,4.77,0.03,29.47,54.37,0.01,0.17,10.75,0.01,0.01,0.32,0.09,2.461,0.0,1.572,0.012,0.002,0.521,0.419,0.01,0.002,55.0
1534,,13.2,36756.66,184.01,166146.4,291441.63,42.93,1488.05,94628.58,90542.45,75.34,137.99,2888.92,6.29,30.07,919.15,0.3,178.86,6.16,3.07,263.0,4.42,0.03,28.01,55.62,0.01,0.16,11.3,0.01,0.02,0.33,0.09,2.531,0.0,1.502,0.013,0.002,0.551,0.39,0.009,0.002,58.0
1535,,10.27,37946.2,161.27,180549.76,279348.82,53.92,1291.46,95116.65,91762.7,79.56,117.5,2888.92,5.02,23.27,919.68,0.23,169.62,6.02,2.1,263.57,4.55,0.02,30.32,53.11,0.01,0.14,11.41,0.01,0.01,0.33,0.09,2.405,0.0,1.618,0.012,0.001,0.554,0.399,0.008,0.002,58.0
1536,,9.1,38295.72,182.63,168730.72,284138.23,45.92,1252.44,72932.22,86824.43,60.6,130.69,2867.34,3.91,22.46,913.11,0.2,168.25,6.29,2.54,264.15,4.66,0.03,28.81,54.93,0.01,0.14,10.98,0.01,0.02,0.33,0.1,2.491,0.0,1.54,0.013,0.002,0.534,0.41,0.008,0.003,56.0
1537,,10.46,37152.69,177.12,172464.82,264287.37,54.91,1205.47,78291.25,93395.43,58.49,147.02,3363.85,4.86,21.49,811.89,0.32,173.3,6.09,2.41,264.72,4.64,0.03,30.19,52.38,0.01,0.13,12.11,0.01,0.02,0.4,0.09,2.369,0.0,1.609,0.015,0.002,0.587,0.407,0.008,0.002,59.0
1538,,15.15,41005.87,174.36,166302.28,269586.52,52.92,1526.24,86578.7,88548.82,92.2,120.97,2759.45,4.86,27.97,872.2,0.2,167.39,6.22,2.32,265.3,5.13,0.03,29.17,53.54,0.01,0.17,11.5,0.01,0.01,0.33,0.09,2.416,0.0,1.552,0.012,0.002,0.556,0.449,0.01,0.002,55.0
1539,,12.61,39908.54,179.87,160785.56,266723.87,30.94,1532.51,92920.53,103658.67,41.64,139.03,2651.58,6.13,22.62,877.15,0.3,170.47,6.09,1.88,265.87,4.98,0.03,28.13,52.83,0.01,0.17,13.43,0.01,0.02,0.32,0.09,2.388,0.0,1.499,0.012,0.002,0.65,0.436,0.01,0.002,59.0
1540,,11.83,42083.17,172.29,164185.77,270298.08,53.92,1126.16,89261.32,85420.86,64.81,122.71,2414.34,3.28,25.86,922.34,0.34,182.37,5.69,2.23,266.45,5.3,0.03,28.97,54.0,0.01,0.13,11.16,0.01,0.01,0.29,0.1,2.435,0.0,1.539,0.011,0.002,0.539,0.463,0.007,0.003,53.0
