,Ca44,Na23,K39,Al27,Si29,An
406,80097.34,38765.45,1372.01,160167.34,274507.49,54.0
407,77255.83,38847.11,1496.05,152854.12,262916.25,53.0
408,80062.96,38963.23,1278.58,166844.08,295516.48,54.0
409,80859.28,36795.96,1437.71,143659.75,262469.73,55.0
410,86164.19,37260.92,1484.41,148682.57,251047.75,56.0
411,76193.13,41162.65,1417.37,148546.18,257411.19,51.0
412,77880.27,36935.23,1433.51,170553.3,245293.92,54.0
413,85823.32,36934.48,1676.59,153827.16,257180.79,56.0
414,72824.56,35566.37,1576.1,156594.44,276285.41,53.0
415,80907.97,35034.12,1717.12,163639.55,263591.13,56.0
416,72182.93,36244.57,1532.51,137722.6,258012.67,53.0
417,74336.97,37331.75,1602.42,145320.51,272984.44,53.0
418,78625.02,38362.26,1540.38,164856.83,269175.73,53.0
419,77751.37,38188.86,1577.27,150111.17,275088.58,53.0
420,72601.13,40909.5,1443.32,165697.88,256436.59,50.0
421,80910.83,40665.95,1698.24,158865.17,254226.4,53.0
422,72804.51,39546.08,1709.71,159624.61,258754.84,51.0
423,78160.98,40088.14,1703.11,149444.22,258167.63,52.0
424,82555.01,41042.57,1564.32,156075.94,282966.94,53.0
425,77141.25,38797.59,1694.1,148708.28,274701.17,53.0
426,70386.93,37885.18,1518.3,151242.38,262948.89,51.0
427,76201.72,39925.36,1614.96,149893.64,239315.84,52.0
428,77167.03,40729.56,1545.68,161287.3,262212.82,52.0
429,75511.39,39262.21,1524.8,142643.26,247610.14,52.0
430,85917.85,40013.76,1568.43,153976.72,262098.66,55.0
431,82002.18,37495.75,1616.26,150024.55,264009.11,55.0
432,71174.65,39798.96,1465.8,155289.88,254256.99,50.0
433,75488.47,38776.55,1757.51,164267.9,225212.66,52.0
434,74471.6,38539.27,1813.94,161855.56,257843.44,52.0
435,73935.96,40884.43,1662.88,156832.92,292276.62,50.0
436,76674.35,40562.56,1458.73,153206.39,269495.85,51.0
437,78768.24,43786.64,1671.62,154388.65,287658.49,50.0
438,75285.1,36724.79,1543.71,147068.55,247667.22,53.0
439,77124.06,40585.99,1526.27,165833.81,272692.86,52.0
440,71973.82,37500.24,1318.77,158816.5,266082.68,52.0
441,73036.53,39198.81,1692.04,165800.14,261672.54,51.0
442,71461.09,36582.72,1410.93,144380.58,288076.47,52.0
443,80443.93,41127.98,1717.25,150061.4,266957.39,52.0
444,79639.03,37970.58,1574.73,157864.13,270028.0,54.0
445,75938.19,38461.49,1495.68,160054.19,285535.98,53.0
446,75909.54,41413.21,1234.79,144635.53,260795.78,51.0
447,73400.31,43346.6,1762.81,159057.46,269771.09,49.0
